0.30742,0.68573,1.1005,1.515,1.921,2.3132,2.6875,3.0395,3.3655,3.6617,3.9252,4.1539,4.3467,4.5037,4.6267,4.7183,4.7824,4.8233,4.8453,4.852,4.8459,4.8277,4.7963,4.749,4.6818,4.5898,4.4684,4.313,4.1204,3.8888,3.6181,3.31,2.9684,2.5988,2.2087,1.8072,1.4051,1.0151,0.6526,0.33791,0.11013
0.29359,0.65493,1.0512,1.4475,1.836,2.2118,2.5708,2.9093,3.2234,3.5098,3.7656,3.9887,4.178,4.3336,4.4568,4.5503,4.6174,4.6623,4.689,4.7008,4.6999,4.6871,4.6611,4.6194,4.5579,4.4718,4.3566,4.2077,4.0222,3.7981,3.5353,3.2356,2.9027,2.5421,2.161,1.7685,1.3753,0.99373,0.63891,0.33084,0.10783
0.27978,0.62417,1.002,1.38,1.7508,2.11,2.4537,2.7782,3.0801,3.3562,3.6037,3.8205,4.0057,4.1592,4.2821,4.3769,4.4466,4.4951,4.526,4.5425,4.5467,4.5391,4.5186,4.4823,4.4265,4.3466,4.2377,4.0957,3.9175,3.7013,3.4469,3.1561,2.8324,2.4814,2.11,1.7272,1.3434,0.97083,0.62426,0.32328,0.10537
0.26608,0.59365,0.95308,1.3129,1.6662,2.0086,2.3367,2.6471,2.9365,3.2018,3.4405,3.6507,3.8312,3.9819,4.104,4.1994,4.2712,4.3227,4.3575,4.3784,4.3874,4.3848,4.3695,4.3387,4.2886,4.2147,4.1124,3.9775,3.8069,3.5989,3.3533,3.0718,2.758,2.417,2.0559,1.6833,1.3095,0.94652,0.6087,0.31525,0.10275
0.25258,0.56355,0.90485,1.2467,1.5825,1.9083,2.2208,2.5169,2.7935,3.0479,3.2774,3.4804,3.6556,3.8031,3.9236,4.0192,4.0924,4.1465,4.1847,4.2096,4.223,4.2251,4.2148,4.1893,4.1449,4.0771,3.9813,3.8537,3.6909,3.4914,3.255,2.9832,2.6796,2.3492,1.9988,1.637,1.2738,0.92089,0.5923,0.30678,0.099996
0.23932,0.534,0.85749,1.1816,1.5002,1.8095,2.1065,2.3883,2.6521,2.8952,3.1153,3.3106,3.4802,3.6238,3.7423,3.8374,3.9115,3.9676,4.0087,4.0371,4.0545,4.061,4.0554,4.035,3.9961,3.9343,3.8452,3.7248,3.5701,3.3793,3.1523,2.8907,2.5976,2.2782,1.9392,1.5886,1.2365,0.89404,0.57511,0.2979,0.097108
0.22638,0.50515,0.81121,1.118,1.4196,1.7127,1.9944,2.262,2.5129,2.7446,2.955,3.1424,3.3059,3.4452,3.5611,3.6552,3.7296,3.7872,3.8306,3.8621,3.8831,3.8936,3.8923,3.8768,3.8432,3.7873,3.7047,3.5916,3.445,3.2631,3.0458,2.7945,2.5125,2.2045,1.8771,1.5383,1.1975,0.86608,0.55721,0.28866,0.0941
0.2138,0.47708,0.76619,1.056,1.3411,1.6183,1.885,2.1385,2.3766,2.5969,2.7974,2.9766,3.1337,3.2683,3.3811,3.4736,3.5479,3.6064,3.6516,3.6856,3.7097,3.7237,3.7265,3.7155,3.6869,3.6367,3.5606,3.4548,3.3163,3.1434,2.936,2.6953,2.4245,2.1282,1.8128,1.4861,1.1573,0.83712,0.53866,0.27908,0.090982
0.20161,0.44988,0.72254,0.99595,1.265,1.5266,1.7785,2.0183,2.2437,2.4526,2.6432,2.8141,2.9644,3.0939,3.2033,3.2938,3.3673,3.4262,3.4727,3.5087,3.5353,3.5525,3.559,3.552,3.5282,3.4835,3.4137,3.315,3.1846,3.0208,2.8232,2.5933,2.334,2.0498,1.7467,1.4324,1.1157,0.80727,0.51954,0.2692,0.087766
0.18983,0.42362,0.68039,0.9379,1.1913,1.4379,1.6754,1.9017,2.1146,2.3123,2.493,2.6554,2.7988,2.923,3.0285,3.1165,3.1888,3.2475,3.2948,3.3323,3.3611,3.3809,3.3905,3.3874,3.368,3.3284,3.2646,3.173,3.0506,2.8958,2.7082,2.4892,2.2415,1.9695,1.679,1.3773,1.0732,0.77665,0.49992,0.25907,0.084467
